ImageName,VietnameseName,EnglishName,Price
001.jpeg,COMBO 1,COMBO 1,169000
001.jpeg,COMBO 2,COMBO 2,169000
001.jpeg,COMBO 3,COMBO 3,169000
001.jpeg,RƯỢU SOJU,SOJU,NOT GIVEN
001.jpeg,RƯỢU VODKA,VODKA,NOT GIVEN
001.jpeg,TIGER LON,TIGER CAN,NOT GIVEN
001.jpeg,TIGER CHAI,TIGER BOTTLE,NOT GIVEN
001.jpeg,TIGER BẠC CHAI,CRYSTAL TIGER CAN,NOT GIVEN
001.jpeg,TIGER BẠC LON,CRYSTAL TIGER BOTTLE,NOT GIVEN
001.jpeg,COCA,COCA,NOT GIVEN
001.jpeg,SPRITE,SPRITE,NOT GIVEN
001.jpeg,SUỐI,WATER,NOT GIVEN
001.jpeg,BÒ HÚC,RED BULL,NOT GIVEN
001.jpeg,BIA QUY NHƠN,QUY NHON BEER,NOT GIVEN
001.jpeg,BIA BIVINA,BIVINA BEER,NOT GIVEN
001.jpeg,STRONG BOW,STRONG BOW,NOT GIVEN
002.jpeg,RAU MUỐNG XÀO TỎI,SAUTEED WATER SPINACH WITH GARLIC,29000
002.jpeg,MỒNG TƠI XÀO TỎI,SAUTEED SPINACH WITH GARLIC,29000
002.jpeg,CẢI XÀO TỎI,SAUTEED BORECOLE WITH GARLIC,29000
002.jpeg,ĐẬU BẮP XÀO TỎI,SAUTEED OKRA WITH GARLIC,29000
002.jpeg,KHOAI TÂY CHIÊN,FRIED POTATO,29000
002.jpeg,DA ẾCH CHIÊN MẮM,FRIED FROG SKIN WITH FISH SAUCE,29000
002.jpeg,DA ẾCH CHIÊN GIÒN,CRISPY FRIED FROG SKIN ,29000
002.jpeg,DA ẾCH RANG MUỐI,ROASTED FROG SKIN WITH SALT,29000
002.jpeg,ĐẬU KHUÔN CHIÊN,FRIED TOFU,29000
002.jpeg,SỨA CHẤM RUỐC,JELLYFISH WITH FINE SHRIMP SAUCE,35000
002.jpeg,BẮP NON XÀO HÀNH ,FRIED CORN WITH SCALLION,35000
002.jpeg,BẮP NON XÀO TÉP,STIR FRIED CORN WITH SHRIMP,39000
002.jpeg,GHẸ SỮA CHIÊN MẮM,FRIED MILK SENTINEL CRAB WITH FISH SAUCE,55000
002.jpeg,GHẸ SỮA RANG MUỐI,FRIED MILK SENTINEL CRAB WITH SALT,55000
002.jpeg,CHẢ RAM TÔM ĐẤT,SPRING ROLL SMAILL SHRIMP,59000
002.jpeg,GỎI TAI HEO,PORK EARS SALAD,55000
002.jpeg,GỎI SỨA,JELLYFISH SALAD,55000
002.jpeg,GỎI HẢI SẢN,SEAFOODS SALAD,55000
002.jpeg,CHÂN GÀ RÚT XƯƠNG LẮC ỚT TẮC,BONELESS CHICKEN FEET MIXED CHILLIES AND KUMQUAT,65000
002.jpeg,GỎI BÒ BÓP THẤU,BEEF SALAD,65000
002.jpeg,GỎI BÒ TÁI CHANH,RARE BEEF SALAD MIXED LIME,65000
002.jpeg,GỎI BẠCH TUỘC,OCTOPUS SALAD,65000
002.jpeg,GỎI TÔM CÔ BA,MS BA SHRIMP SALAD,75000
003.jpeg,XÚC XÍCH ĐỨC,GERMAN SAUSAGE,10000
003.jpeg,ĐẬU BẮP NƯỚNG ,GRILLED OKRA,25000
003.jpeg,CÀ TÍM NƯỚNG,GRILLED EGGPLANT,25000
003.jpeg,CÁ BÒ TÔM VIÊN NƯỚNG ,GRILLED FISH BALL BEEF BALL SHRIMP BALL,25000
003.jpeg,BÁNH BAO NƯỚNG ,GRILLED DUMPLINGS,35000
003.jpeg,LÒNG HEO NƯỚNG,GRILLED PIG'S GUTS,35000
003.jpeg,MỀ GÀ NƯỚNG,GRILLED CHICKEN GIZZARD,35000
003.jpeg,MỰC NƯỚNG,GRILLED SQUID,35000
003.jpeg,TÔM NƯỚNG,GRILLED SHRIMP,35000
003.jpeg,BẠCH TUỘC NƯỚNG,GRILLED OCTOPUS,35000
003.jpeg,SƯỜN NƯỚNG BBQ,BAKED RIBS BBQ,35000
003.jpeg,BA CHỈ HEO NƯỚNG,BAKED BACON,35000
003.jpeg,ẾCH NƯỚNG,GRILLED FROG,35000
003.jpeg,BA CHỈ BÒ MỸ NƯỚNG,GRILLED AMERICAN SHORT PLATE,35000
003.jpeg,BA CHỈ BÒ CUỘN NẤM,SHORT PLATE ROLL MUSHROOM,40000
003.jpeg,BA CHỈ BÒ CUỘN PHÔ MAI,SHORT PLATE ROLL CHEESE,40000
003.jpeg,BÒ NƯỚNG SA TẾ,SPICY GRILLED BEEF,40000
003.jpeg,BÒ NƯỚNG LÁ LỐT,GRILLED BEEF WITH PIPER LOLOT,40000
003.jpeg,BẸ SỮA NƯỚNG,GRILLED SWINE BREASTS,45000
003.jpeg,HÀU PHÔ MAI,CHEESE OYSTERS,12000
003.jpeg,HÀU NƯỚNG MỠ HÀNH,GRILLED OYSTERS WITH OIL GARNISH,55000
003.jpeg,XÌA NƯỚNG,GRILLED CLAMS,55000
003.jpeg,SÒ ĐIỆP NƯỚNG,GRILLED SCALLOPS,55000
003.jpeg,ỐC BƯƠU NƯỚNG TIÊU XANH,GRILLED SNAIL WITH GREEN PEPPER,59000
003.jpeg,BA CHỈ NƯỚNG,BAKED BACON,65000
003.jpeg,BẸ SỮA NƯỚNG,GRILLED MILK SENTINEL CRABS,69000
003.jpeg,TÔM NƯỚNG,GRILLED SHRIMP,69000
003.jpeg,BẠCH TUỘC NƯỚNG,GRILLED OCTOPUS,69000
003.jpeg,BÒ NƯỚNG CAY,SPICY GRILLED BEEF,69000
003.jpeg,BÒ NƯỚNG LÁ LỐT,GRILLED BEEF WITH PIPER LOLOT,69000
003.jpeg,BÒ CUỘN NẤM KIM CHÂM,BEEF ROLL FLAMMULINA FILIFORMIS,79000
004.jpeg,LÒNG CHIÊN MẮM,FRIED CHICKEN'S GUTS WITH FISH SAUCE,49000
004.jpeg,LÒNG XÀO NGHỆ,STIR FRIED CHICKEN'S GUTS WITH TURMERIC,49000
004.jpeg,XÌA HẤP SẢ,STEAMED CLAMS WITH CITRONELLA,55000
004.jpeg,XÌA HẤP THÁI,STEAMED CLAMS,55000
004.jpeg,ẾCH XÀO SẢ ỚT,SPICY STIR FRIED FROS,55000
004.jpeg,ẾCH RANG LÁ CHANH,FRIED FROG WITH LIME LEAVES,59000
004.jpeg,ẾCH RANG MUỐI,FRIED FROG WITH SALT,59000
004.jpeg,ẾCH CHIÊN MẮM,FRIED FROG WITH FISH SAUCE,59000
004.jpeg,ẾCH CHIÊN BƠ,FRIED FROG WITH BUTTER,59000
004.jpeg,SỤN RANG MUỐI ,FRIED CARTILAGE WITH SALT,59000
004.jpeg,SỤN CHIÊN MẮM,FRIED CARTILAGE WITH FISH SAUCE,59000
004.jpeg,CÁNH GÀ RANG MUỐI,FRIED CHICKEN WING WITH SALT,59000
004.jpeg,CÁNH GÀ CHIÊN MẮM,FRIED CHICKEN WING WITH FISH SAUCE,59000
004.jpeg,CÁNH GÀ CHIÊN BƠ,FRIED CHICKEN WING WITH BUTTER,59000
004.jpeg,ỐC BƯƠU HẤP SẢ,STEAMED SNAIL WITH CITRONELLA,59000
004.jpeg,ỐC BƯƠU XÀO SẢ,STIR FRIED SNAIL WITH CITRONELLA,59000
004.jpeg,ỐC BƯƠU UM TIÊU,SIMMER SNAIL WITH PEPPER,59000
004.jpeg,ỐC MÓNG TAY XÀO SẢ,STIR FRIED RAZOR CLAM WITH CITRONELLA,59000
004.jpeg,ỐC MÓNG TAY XÀO BƠ TỎI,STIR FRIED RAZOR CLAM WITH BUTTER AND GARLIC,59000
004.jpeg,ỐC MÓNG TAY XÀO RAU MUỐNG,STIR FRIED RAZOR CLAM WITH WATER SPINACH,59000
004.jpeg,LƯỠI VỊT RANG MUỐI,DUCK TONGUE FRIED WITH SALT,69000
004.jpeg,LƯỠI VỊT CHIÊN MẮM,DUCK TONGUE FRIED WITH FISH SAUCE,69000
004.jpeg,CÀ NA RANG MUỐI,CANA FRIED WITH SALT,69000
004.jpeg,CÀ NA HẤP SẢ,CANA STEAMED WITH CITRONELLA,69000
004.jpeg,CÀ NA XÀO SẢ,CANA STIR FRIED WITH CITRONELLA,69000
004.jpeg,CÀ NA XÀO BƠ TỎI,CANA STIR FRIED WITH BUTTER,69000
004.jpeg,CHÂN GÀ SỐT CÔ BA,CHICKEN LEGS WITH MS BA SAUCE,69000
004.jpeg,CHÂN GÀ RANG MUỐI,CHICKEN LEGS STIR FRIED WITH SALT,69000
005.jpeg,TRÀ SỮA OLONG ĐẶC BIỆT FULL TOPPING M,OOLONG MILK TEA SPECIAL FULL TOPPING M,18000
005.jpeg,TRÀ SỮA OLONG ĐẶC BIỆT FULL TOPPING L,OOLONG MILK TEA SPECIAL FULL TOPPING L,23000
005.jpeg,TRÀ SỮA OLONG TRÂN CHÂU ĐEN TRẮNG M,OOLONG BLACK AND WHITE BUBBLE MILK TEA M,15000
005.jpeg,TRÀ SỮA OLONG TRÂN CHÂU ĐEN TRẮNG L,OOLONG BLACK AND WHITE BUBBLE MILK TEA L,20000
005.jpeg,TRÀ SỮA 3 TẦNG KEM TRỨNG NƯỚNG M,MILK TEA WITH 3 GRILLED LAYERS CUSTARD CREAM M,20000
005.jpeg,TRÀ SỮA 3 TẦNG KEM TRỨNG NƯỚNG L,MILK TEA WITH 3 GRILLED LAYERS CUSTARD CREAM L,25000
005.jpeg,TRÀ SỮA KEM TRỨNG DỪA NƯỚNG M,MILK TEA WITH GRILLED CUSTARD CREAM AND COCONUT M,20000
005.jpeg,TRÀ SỮA KEM TRỨNG DỪA NƯỚNG L,MILK TEA WITH GRILLED CUSTARD CREAM AND COCONUT L,25000
005.jpeg,TRÀ SỮA KEM TRỨNG OREO M,MILK TEA WITH GRILLED CUSTARD CREAM AND OREO M,20000
005.jpeg,TRÀ SỮA KEM TRỨNG OREO L,MILK TEA WITH GRILLED CUSTARD CREAM AND OREO L,25000
005.jpeg,TRÀ SỬA BRULLE TRỨNG MUỐI M,MILK TEA BRULLE WITH SALTED EGG M,20000
005.jpeg,TRÀ SỬA BRULLE TRỨNG MUỐI L,MILK TEA BRULLE WITH SALTED EGG L,25000
005.jpeg,TRÀ SỮA KHOAI MÔN ĐẶC BIỆT FULL TOPPING M,MILK TEA TARO SPECIAL FULL TOPPING M,18000
005.jpeg,TRÀ SỮA KHOAI MÔN ĐẶC BIỆT FULL TOPPING L,MILK TEA TARO SPECIAL FULL TOPPING L,23000
005.jpeg,TRÀ SỮA KHOAI KHOAI MÔN TRÂN CHÂU ĐEN TRẮNG M,WHITE AND BLACK BUBBLE MILK TEA TARO M,15000
005.jpeg,TRÀ SỮA KHOAI KHOAI MÔN TRÂN CHÂU ĐEN TRẮNG L,WHITE AND BLACK BUBBLE MILK TEA TARO L,20000
005.jpeg,TRÀ SỮA SOCOLA ĐẶC BIỆT FULL TOPPING M,SPECIAL MILK TEA CHOCOLATE FULL TOPPING M,18000
005.jpeg,TRÀ SỮA SOCOLA ĐẶC BIỆT FULL TOPPING L,SPECIAL MILK TEA CHOCOLATE FULL TOPPING L,23000
005.jpeg,SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN M,BLACK SUGAR BUBBLE MILK TEA M,20000
005.jpeg,SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN L,BLACK SUGAR BUBBLE MILK TEA L,25000
005.jpeg,SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN 4 TẦNG KEM TRỨNG NƯỚNG M,BLACK SUGAR BUBBLE MILK TEA WITH 4 LAYERS GRILLED CUSTARD CREAM M,20000
005.jpeg,SỮA TƯƠI TRÂN CHÂU ĐƯỜNG ĐEN 4 TẦNG KEM TRỨNG NƯỚNG L,BLACK SUGAR BUBBLE MILK TEA WITH 4 LAYERS GRILLED CUSTARD CREAM L,25000
005.jpeg,SỮA TƯƠI CAPHE SƯƠNG SÁO M,MILK COFFEE WITH BLACK JELLY M,20000
005.jpeg,SỮA TƯƠI CAPHE SƯƠNG SÁO L,MILK COFFEE WITH BLACK JELLY L,25000
005.jpeg,SỮA TƯƠI KEM TRỨNG DỪA NƯỚNG M,MILK WITH GRILLED CUSTARD CREAM AND COCNUT M,20000
005.jpeg,SỮA TƯƠI KEM TRỨNG DỪA NƯỚNG L,MILK WITH GRILLED CUSTARD CREAM AND COCNUT L,25000
005.jpeg,SỮA TƯƠI KEM TRỨNG OREO M,MILK WITH CUSTARD CREAM AND OREO M,20000
005.jpeg,SỮA TƯƠI KEM TRỨNG OREO L,MILK WITH CUSTARD CREAM AND OREO L,25000
